id_config,execucao,seed,operador,populacao,geracoes,taxa_crossover,taxa_mutacao,distancia_final,melhor_rota
12,10,12009,PMX,100,100,0.9,0.01,357,"[0, 12, 14, 4, 6, 8, 2, 11, 13, 9, 7, 1, 5, 3, 10]"
13,1,13000,OX,100,100,0.8,0.05,356,"[13, 9, 7, 5, 3, 1, 12, 0, 10, 14, 8, 4, 6, 2, 11]"
13,2,13001,OX,100,100,0.8,0.05,315,"[3, 5, 9, 7, 13, 11, 2, 6, 4, 8, 14, 12, 1, 0, 10]"
13,3,13002,OX,100,100,0.8,0.05,291,"[4, 8, 14, 1, 12, 0, 10, 3, 5, 7, 9, 13, 11, 2, 6]"
13,4,13003,OX,100,100,0.8,0.05,327,"[3, 5, 13, 11, 7, 9, 2, 6, 8, 4, 14, 1, 12, 0, 10]"
13,5,13004,OX,100,100,0.8,0.05,337,"[2, 13, 11, 9, 8, 7, 5, 3, 10, 0, 12, 1, 14, 4, 6]"
13,6,13005,OX,100,100,0.8,0.05,291,"[13, 11, 2, 6, 4, 8, 14, 1, 12, 0, 10, 3, 5, 7, 9]"
13,7,13006,OX,100,100,0.8,0.05,321,"[5, 9, 13, 11, 2, 6, 4, 14, 8, 7, 1, 12, 0, 10, 3]"
13,8,13007,OX,100,100,0.8,0.05,325,"[0, 12, 1, 9, 8, 14, 4, 6, 2, 11, 13, 7, 5, 3, 10]"
13,9,13008,OX,100,100,0.8,0.05,299,"[14, 8, 4, 6, 2, 13, 11, 9, 7, 5, 3, 10, 0, 12, 1]"
13,10,13009,OX,100,100,0.8,0.05,355,"[5, 1, 7, 9, 2, 13, 11, 6, 4, 8, 14, 12, 0, 10, 3]"
14,1,14000,PMX,100,100,0.8,0.05,291,"[0, 12, 1, 14, 8, 4, 6, 2, 11, 13, 9, 7, 5, 3, 10]"
14,2,14001,PMX,100,100,0.8,0.05,291,"[5, 3, 10, 0, 12, 1, 14, 8, 4, 6, 2, 11, 13, 9, 7]"
14,3,14002,PMX,100,100,0.8,0.05,321,"[5, 7, 1, 9, 13, 11, 2, 6, 4, 8, 14, 12, 0, 10, 3]"
14,4,14003,PMX,100,100,0.8,0.05,321,"[11, 13, 9, 5, 3, 10, 0, 12, 1, 7, 8, 14, 4, 6, 2]"
